"id_monitoring","monitoring_at","created_at"
121,2025-03-25 17:46:11.981,2025-03-25 17:46:11.981
122,2025-03-25 17:54:03.026,2025-03-25 17:54:03.026
123,2025-03-25 17:55:27.165,2025-03-25 17:55:27.165
124,2025-03-25 18:05:27.293,2025-03-25 18:05:27.293
125,2025-03-25 18:15:27.697,2025-03-25 18:15:27.697
126,2025-03-25 18:30:00.986,2025-03-25 18:30:00.986
127,2025-03-25 18:40:01.132,2025-03-25 18:40:01.132
128,2025-03-25 18:50:00.035,2025-03-25 18:50:00.035
129,2025-03-25 19:00:00.031,2025-03-25 19:00:00.031
130,2025-03-25 19:10:00.083,2025-03-25 19:10:00.083
131,2025-03-25 19:20:00.024,2025-03-25 19:20:00.024
132,2025-03-25 19:30:00.020,2025-03-25 19:30:00.020
133,2025-03-25 19:40:00.069,2025-03-25 19:40:00.069
134,2025-03-25 19:50:00.020,2025-03-25 19:50:00.020
135,2025-03-25 20:00:00.030,2025-03-25 20:00:00.030
136,2025-03-25 20:10:00.091,2025-03-25 20:10:00.091
137,2025-03-25 20:20:00.016,2025-03-25 20:20:00.016
138,2025-03-25 20:30:00.018,2025-03-25 20:30:00.018
139,2025-03-25 20:40:00.128,2025-03-25 20:40:00.128
140,2025-03-25 20:50:00.012,2025-03-25 20:50:00.012
141,2025-03-25 21:00:00.015,2025-03-25 21:00:00.015
142,2025-03-25 21:10:00.046,2025-03-25 21:10:00.046
143,2025-03-25 21:20:00.012,2025-03-25 21:20:00.012
144,2025-03-25 21:30:00.011,2025-03-25 21:30:00.011
145,2025-03-25 21:40:00.099,2025-03-25 21:40:00.099
146,2025-03-25 21:50:00.012,2025-03-25 21:50:00.012
147,2025-03-25 22:00:00.011,2025-03-25 22:00:00.011
148,2025-03-25 22:10:00.053,2025-03-25 22:10:00.053
149,2025-03-25 22:20:00.011,2025-03-25 22:20:00.011
150,2025-03-25 22:30:00.011,2025-03-25 22:30:00.011
151,2025-03-25 22:40:00.055,2025-03-25 22:40:00.055
152,2025-03-25 22:50:00.011,2025-03-25 22:50:00.011
153,2025-03-25 23:00:00.012,2025-03-25 23:00:00.012
154,2025-03-25 23:10:00.059,2025-03-25 23:10:00.059
155,2025-03-25 23:20:00.014,2025-03-25 23:20:00.014
156,2025-03-25 23:30:00.012,2025-03-25 23:30:00.012
157,2025-03-25 23:40:00.079,2025-03-25 23:40:00.079
158,2025-03-25 23:50:00.012,2025-03-25 23:50:00.012
159,2025-03-25 23:52:26.743,2025-03-25 23:52:26.743
160,2025-03-26 00:00:00.014,2025-03-26 00:00:00.014
